Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestUserRoleLoginShowMenus,Chrome 66.0.3359.139,,2018-05-09 16:23:20,2018-05-09 16:24:01,40.362s,PASSED
,,,,,,
Test Cases/TESTCASE3,Chrome 66.0.3359.139,,2018-05-09 16:23:21,2018-05-09 16:23:38,17.045s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:23:21,2018-05-09 16:23:24,2.772s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 16:23:24,2018-05-09 16:23:35,11.694s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:23:35,2018-05-09 16:23:36,0.218s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:23:36,2018-05-09 16:23:36,0.119s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 16:23:36,2018-05-09 16:23:36,0.117s,PASSED
verifyElementClickable,Chrome 66.0.3359.139,,2018-05-09 16:23:36,2018-05-09 16:23:37,1.087s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:23:37,2018-05-09 16:23:37,0.045s,PASSED
verifyElementClickable,Chrome 66.0.3359.139,,2018-05-09 16:23:37,2018-05-09 16:23:37,0.035s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:23:37,2018-05-09 16:23:37,0.035s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 16:23:37,2018-05-09 16:23:38,0.678s,PASSED
,,,,,,
Test Cases/TESTCASE3,Chrome 66.0.3359.139,,2018-05-09 16:23:38,2018-05-09 16:24:01,23.014s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 16:23:38,2018-05-09 16:23:40,1.954s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 16:23:40,2018-05-09 16:23:59,18.867s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:23:59,2018-05-09 16:23:59,0.148s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 16:23:59,2018-05-09 16:23:59,0.120s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 16:23:59,2018-05-09 16:23:59,0.095s,PASSED
verifyElementClickable,Chrome 66.0.3359.139,,2018-05-09 16:23:59,2018-05-09 16:24:00,1.071s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:24:00,2018-05-09 16:24:00,0.034s,PASSED
verifyElementClickable,Chrome 66.0.3359.139,,2018-05-09 16:24:00,2018-05-09 16:24:00,0.038s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 16:24:00,2018-05-09 16:24:00,0.036s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 16:24:00,2018-05-09 16:24:01,0.640s,PASSED
