Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestShowErrorMessageAfterWrongUsernameAndPassword,Chrome 65.0.3325.181,,2018-05-09 11:33:02,2018-05-09 11:33:16,13.957s,PASSED
,,,,,,
Test Cases/TESTCASE5,Chrome 65.0.3325.181,"At the login page, The user can login to the system\n\nIf the user name and password is not correct, the error message, \u201CUsername/password\nis incorrect\u201D is shown",2018-05-09 11:33:03,2018-05-09 11:33:16,13.354s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-05-09 11:33:03,2018-05-09 11:33:07,3.896s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-05-09 11:33:07,2018-05-09 11:33:13,5.803s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 11:33:13,2018-05-09 11:33:14,0.574s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 11:33:14,2018-05-09 11:33:14,0.384s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 11:33:14,2018-05-09 11:33:14,0.212s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-05-09 11:33:14,2018-05-09 11:33:15,1.173s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-05-09 11:33:15,2018-05-09 11:33:16,0.786s,PASSED
