Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestLogout,Chrome 65.0.3325.181,,2018-05-09 15:02:16,2018-05-09 15:04:41,2m - 24.800s,PASSED
,,,,,,
Test Cases/TESTCASE-D,Chrome 65.0.3325.181,"When the user clicks logout button, the system will return to the login page.",2018-05-09 15:02:17,2018-05-09 15:03:04,47.497s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-05-09 15:02:17,2018-05-09 15:02:22,5.157s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-05-09 15:02:22,2018-05-09 15:03:00,37.873s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 15:03:00,2018-05-09 15:03:01,0.746s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 15:03:01,2018-05-09 15:03:01,0.331s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 15:03:01,2018-05-09 15:03:01,0.217s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 15:03:01,2018-05-09 15:03:03,1.264s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-05-09 15:03:03,2018-05-09 15:03:03,0.319s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-05-09 15:03:03,2018-05-09 15:03:04,1.137s,PASSED
,,,,,,
Test Cases/TESTCASE-D,Chrome 65.0.3325.181,"When the user clicks logout button, the system will return to the login page.",2018-05-09 15:03:04,2018-05-09 15:03:51,46.921s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-05-09 15:03:04,2018-05-09 15:03:08,4.117s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-05-09 15:03:08,2018-05-09 15:03:48,39.822s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 15:03:48,2018-05-09 15:03:48,0.324s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 15:03:48,2018-05-09 15:03:49,0.251s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 15:03:49,2018-05-09 15:03:49,0.166s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 15:03:49,2018-05-09 15:03:50,1.223s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-05-09 15:03:50,2018-05-09 15:03:50,0.060s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-05-09 15:03:50,2018-05-09 15:03:51,0.910s,PASSED
,,,,,,
Test Cases/TESTCASE-D,Chrome 65.0.3325.181,"When the user clicks logout button, the system will return to the login page.",2018-05-09 15:03:51,2018-05-09 15:04:41,49.814s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-05-09 15:03:51,2018-05-09 15:03:55,3.561s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-05-09 15:03:55,2018-05-09 15:04:37,42.823s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 15:04:37,2018-05-09 15:04:38,0.533s,PASSED
setText,Chrome 65.0.3325.181,,2018-05-09 15:04:38,2018-05-09 15:04:38,0.271s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 15:04:38,2018-05-09 15:04:38,0.141s,PASSED
click,Chrome 65.0.3325.181,,2018-05-09 15:04:38,2018-05-09 15:04:40,1.283s,PASSED
verifyElementText,Chrome 65.0.3325.181,,2018-05-09 15:04:40,2018-05-09 15:04:40,0.092s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-05-09 15:04:40,2018-05-09 15:04:41,1.090s,PASSED
