Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestLogout,Chrome 66.0.3359.139,,2018-05-09 15:51:23,2018-05-09 15:54:52,3m - 29.306s,PASSED
,,,,,,
Test Cases/TESTCASE-D,Chrome 66.0.3359.139,"When the user clicks logout button, the system will return to the login page.",2018-05-09 15:51:23,2018-05-09 15:52:33,1m - 9.767s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 15:51:23,2018-05-09 15:51:26,2.885s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 15:51:26,2018-05-09 15:52:30,1m - 4.341s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:52:30,2018-05-09 15:52:31,0.201s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:52:31,2018-05-09 15:52:31,0.125s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:52:31,2018-05-09 15:52:31,0.119s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:52:31,2018-05-09 15:52:32,1.103s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:52:32,2018-05-09 15:52:32,0.060s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 15:52:32,2018-05-09 15:52:33,0.660s,PASSED
,,,,,,
Test Cases/TESTCASE-D,Chrome 66.0.3359.139,"When the user clicks logout button, the system will return to the login page.",2018-05-09 15:52:33,2018-05-09 15:53:59,1m - 26.643s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 15:52:33,2018-05-09 15:52:35,1.973s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 15:52:35,2018-05-09 15:53:57,1m - 22.478s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:53:57,2018-05-09 15:53:57,0.142s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:53:57,2018-05-09 15:53:57,0.129s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:53:57,2018-05-09 15:53:58,0.092s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:53:58,2018-05-09 15:53:59,1.122s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:53:59,2018-05-09 15:53:59,0.056s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 15:53:59,2018-05-09 15:53:59,0.639s,PASSED
,,,,,,
Test Cases/TESTCASE-D,Chrome 66.0.3359.139,"When the user clicks logout button, the system will return to the login page.",2018-05-09 15:53:59,2018-05-09 15:54:52,52.589s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-09 15:53:59,2018-05-09 15:54:01,2.011s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-09 15:54:01,2018-05-09 15:54:49,47.309s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:54:49,2018-05-09 15:54:49,0.139s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-09 15:54:49,2018-05-09 15:54:49,0.115s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:54:49,2018-05-09 15:54:49,0.088s,PASSED
click,Chrome 66.0.3359.139,,2018-05-09 15:54:49,2018-05-09 15:54:51,2.109s,PASSED
verifyElementText,Chrome 66.0.3359.139,,2018-05-09 15:54:51,2018-05-09 15:54:51,0.046s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-09 15:54:51,2018-05-09 15:54:52,0.761s,PASSED
